time_stamp,sensor_1,sensor_2,sensor_3,sensor_4
2020/12/17 19:41:13.191,-2742.0,0.0,0.0,-2122.0
2020/12/17 19:41:13.296,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:13.395,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:13.502,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:13.594,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:13.700,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:13.794,-2745.0,0.0,0.0,-2120.0
2020/12/17 19:41:13.900,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:14.008,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:14.108,-2743.0,0.0,0.0,-2120.0
2020/12/17 19:41:14.110,-2744.0,0.0,0.0,-2120.0
2020/12/17 19:41:14.195,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:14.300,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:14.396,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:14.496,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:14.595,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:14.700,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:14.781,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:14.889,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:14.999,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:15.190,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:15.299,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:15.411,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:15.515,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:15.615,-2742.0,0.0,0.0,-2121.0
2020/12/17 19:41:15.722,-2742.0,0.0,0.0,-2122.0
2020/12/17 19:41:15.834,-2742.0,0.0,0.0,-2121.0
2020/12/17 19:41:15.935,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:16.058,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:16.166,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:16.278,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:16.385,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:16.449,-2745.0,0.0,0.0,-2120.0
2020/12/17 19:41:16.552,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:16.632,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:16.736,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:16.811,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:16.915,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:17.033,-2742.0,0.0,0.0,-2122.5
2020/12/17 19:41:17.097,-2742.0,0.0,0.0,-2122.0
2020/12/17 19:41:17.134,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:17.214,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:17.319,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:17.414,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:17.521,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:17.607,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:17.714,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:17.798,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:17.907,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:17.990,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:18.106,-2742.5,0.0,0.0,-2120.0
2020/12/17 19:41:18.192,-2743.0,0.0,0.0,-2121.5
2020/12/17 19:41:18.302,-2742.5,0.0,0.0,-2123.0
2020/12/17 19:41:18.412,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:18.512,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:18.579,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:18.685,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:18.794,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:18.894,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:18.996,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:19.098,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:19.215,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:19.325,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:19.415,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:19.525,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:19.610,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:19.720,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:19.812,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:19.921,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:19.991,-2745.0,0.0,0.0,-2122.0
2020/12/17 19:41:20.193,-2745.0,0.0,0.0,-2121.0
2020/12/17 19:41:20.300,-2745.0,0.0,0.0,-2120.0
2020/12/17 19:41:20.394,-2745.0,0.0,0.0,-2120.0
2020/12/17 19:41:20.501,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:20.615,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:20.721,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:20.818,-2742.0,0.0,0.0,-2122.5
2020/12/17 19:41:20.922,-2743.5,0.0,0.0,-2122.0
2020/12/17 19:41:21.018,-2745.0,0.0,0.0,-2122.5
2020/12/17 19:41:21.095,-2744.0,0.0,0.0,-2123.0
2020/12/17 19:41:21.120,-2743.0,0.0,0.0,-2123.0
2020/12/17 19:41:21.192,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:21.302,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:21.394,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:21.494,-2745.0,0.0,0.0,-2120.0
2020/12/17 19:41:21.580,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:21.680,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:21.794,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:21.903,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:21.994,-2745.0,0.0,0.0,-2122.0
2020/12/17 19:41:22.180,-2745.0,0.0,0.0,-2121.0
2020/12/17 19:41:22.285,-2745.0,0.0,0.0,-2120.0
2020/12/17 19:41:22.413,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:22.515,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:22.615,-2745.0,0.0,0.0,-2122.5
2020/12/17 19:41:22.718,-2745.0,0.0,0.0,-2122.0
2020/12/17 19:41:22.836,-2745.0,0.0,0.0,-2122.5
2020/12/17 19:41:22.943,-2743.5,0.0,0.0,-2123.0
2020/12/17 19:41:23.047,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:23.099,-2743.0,0.0,0.0,-2123.0
2020/12/17 19:41:23.156,-2744.0,0.0,0.0,-2120.0
2020/12/17 19:41:23.230,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:23.337,-2745.0,0.0,0.0,-2123.0
2020/12/17 19:41:23.412,-2745.0,0.0,0.0,-2121.5
2020/12/17 19:41:23.514,-2743.5,0.0,0.0,-2120.0
2020/12/17 19:41:23.615,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:23.719,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:23.813,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:23.914,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:23.996,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:24.095,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:24.197,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:24.306,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:24.396,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:24.505,-2742.0,0.0,0.0,-2120.0
2020/12/17 19:41:24.599,-2742.0,0.0,0.0,-2121.5
2020/12/17 19:41:24.707,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:24.798,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:24.902,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:24.992,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:25.095,-2742.0,0.0,0.0,-2123.0
2020/12/17 19:41:25.206,-2742.0,0.0,0.0,-2122.0
2020/12/17 19:41:25.306,-2743.5,0.0,0.0,-2121.0
2020/12/17 19:41:25.392,-2745.0,0.0,0.0,-2120.5
2020/12/17 19:41:25.493,-2752.5,0.0,0.0,-2120.0
2020/12/17 19:41:25.595,-2760.0,0.0,0.0,-2120.0
2020/12/17 19:41:25.696,-2794.0,0.0,0.0,-2120.0
2020/12/17 19:41:25.796,-2828.0,0.0,0.0,-2120.0
2020/12/17 19:41:25.903,-2835.5,0.0,0.0,-2120.0
2020/12/17 19:41:25.993,-2843.0,0.0,0.0,-2151.0
2020/12/17 19:41:26.098,-2842.5,0.0,0.0,-2182.0
2020/12/17 19:41:26.193,-2842.0,0.0,0.0,-2152.5
2020/12/17 19:41:26.294,-2842.0,0.0,0.0,-2123.0
2020/12/17 19:41:26.397,-2842.0,0.0,0.0,-2122.5
2020/12/17 19:41:26.504,-2842.0,0.0,0.0,-2122.0
2020/12/17 19:41:26.616,-2842.0,0.0,0.0,-2133.5
2020/12/17 19:41:26.718,-2842.0,0.0,0.0,-2145.0
2020/12/17 19:41:26.790,-2842.0,0.0,0.0,-2156.5
2020/12/17 19:41:26.891,-2842.0,0.0,0.0,-2168.0
2020/12/17 19:41:26.991,-2842.0,0.0,0.0,-2181.5
2020/12/17 19:41:27.087,-2843.5,0.0,0.0,-2195.0
2020/12/17 19:41:27.191,-2845.0,0.0,0.0,-2193.0
2020/12/17 19:41:27.299,-2843.5,0.0,0.0,-2191.0
2020/12/17 19:41:27.380,-2842.0,0.0,0.0,-2192.0
2020/12/17 19:41:27.481,-2842.0,0.0,0.0,-2193.0
2020/12/17 19:41:27.582,-2842.0,0.0,0.0,-2193.0
2020/12/17 19:41:27.688,-2853.5,0.0,0.0,-2193.0
2020/12/17 19:41:27.784,-2865.0,0.0,0.0,-2192.5
2020/12/17 19:41:27.887,-2882.5,0.0,0.0,-2192.0
2020/12/17 19:41:27.981,-2900.0,0.0,0.0,-2193.0
2020/12/17 19:41:28.219,-2925.0,0.0,0.0,-2194.0
2020/12/17 19:41:28.328,-2930.5,0.0,0.0,-2195.0
2020/12/17 19:41:28.402,-2936.0,0.0,0.0,-2193.5
2020/12/17 19:41:28.503,-2937.0,0.0,0.0,-2192.0
2020/12/17 19:41:28.585,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:28.694,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:28.783,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:28.887,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:29.013,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:29.120,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:29.197,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:29.306,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:29.388,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:29.491,-2938.0,0.0,0.0,-2192.0
2020/12/17 19:41:29.617,-2938.0,0.0,0.0,-2193.5
2020/12/17 19:41:29.720,-2938.0,0.0,0.0,-2195.0
2020/12/17 19:41:29.832,-2938.0,0.0,0.0,-2187.0
2020/12/17 19:41:29.933,-2938.0,0.0,0.0,-2179.0
